"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.00277453405954566,0.00816039429278136,0.431707695803346,0.423195188617936,1.67769571935523,71,"467;182;4783;3949;54206;57761;2990;312;2770;114569;3958;51330;3157;1595;132864;3156;134429;1119;94241;5359"
"HALLMARK_UV_RESPONSE_UP",0.000247147170691248,0.00112339623041476,0.49849310876659,0.366498279897369,1.64810470452414,149,"467;6236;2353;3569;2920;2354;3164;27295;388;3162;885;3659;1054;4792;6782;2643;10950;3383;3726;6539;440;8878;4072;5243;8804;1482;9296;7037;528;6890;694;7832;5471"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.00268289356925739,0.00816039429278136,0.431707695803346,0.402769064017744,1.64721666809961,82,"2919;3569;3627;5292;3559;2921;3162;3725;1326;3659;2;3566;83729;10379;6373;867;51330;23765;6772;355;3553;5781;9180;7097;7132;952;4283;6774;3459;4050;56034"
"HALLMARK_UV_RESPONSE_DN",0.00125109588227374,0.00446819957954908,0.45505986738723,0.368550555528423,1.61258219834903,134,"8553;390;1843;2152;10370;3480;2274;3949;627;51460;4781;323;4609;6591;26037;3667;861;3037;9975;3638;2202;4790;5376;5922;29970;5999;1859;10395;25836;5195;6541;7799;10000"
"HALLMARK_NOTCH_SIGNALING",0.0207649271786216,0.051912317946554,0.352487857583619,0.459652126119047,1.56457779255953,32,"182;3280;7472;7855;7474;3955;4854;23220;4851;8819"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.000647529532379433,0.00249049820145936,0.477270815362862,0.335643069972694,1.56301843189769,190,"8553;3625;2353;799;374;3480;7071;27295;2274;8140;9687;3280;5366;347733;10560;1960;8204;9314;6509;7494;28966;4609;7357;11057;4277;23286;6542;2296;9620;8645;7022;2444;6478;1154;55638;8614;9022"
"HALLMARK_ANDROGEN_RESPONSE",0.00876352276625124,0.0243431187951423,0.380730400722792,0.362211569956586,1.51835006529918,96,"9510;8848;6446;6303;25816;11057;84159;65986;3638;6197;55839;9590;7163;60559;56937;4824;3157;10627;10397;3156;3685;3977;567;7329;10461;54407;4117;22936;3422;8031;2185;6722;2683"
"HALLMARK_ALLOGRAFT_REJECTION",0.00179201603866579,0.00597338679555262,0.45505986738723,0.320834142452418,1.47911938083617,176,"1520;3976;2069;9734;3625;3569;3592;7042;912;3559;3624;3589;8915;8444;3566;5582;5551;602;10261;3383;3600;2634;8807;4153;3665;3091;6891;6347;7163;6885;2113;2316;5777;6772;355;925;3553;6890;4843;5552;917;7321;567;8767;7097;729230;6363;2000;586;56253;4283;4318;7186;1234;3932;3459;4050;3702;9466"
"HALLMARK_COMPLEMENT",0.0184146922185943,0.0484597163647219,0.352487857583619,0.288774894534421,1.34582363302013,192,"1520;8942;2919;7128;3569;5055;5327;2152;23764;5292;4973;3659;1051;868;2153;5341;1848;30819;7941;1465;5663;1604;837;3665;7980;3958;462;3172;5321;1608"
"HALLMARK_ANGIOGENESIS",0.092948717948718,0.211247086247086,0.266350657088526,0.388175110271948,1.33754276243176,36,"182;4973;7422;6781;351;7056"
"HALLMARK_TGF_BETA_SIGNALING",0.111387610488037,0.232057521850076,0.287805130535564,0.355974699063781,1.32140023124179,54,"9241;7071;23645;7050;4086;6498;3726;57154;6885;56937;28996;7044;2339;2280;7323;650;7057;90;11031;51742"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.152317880794702,0.292919001528273,0.208955027549354,0.354695059843491,1.24867108389344,41,"182;22943;23462;51176;4609;8313;2770;9794;4851"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.120833333333333,0.241666666666667,0.266350657088526,0.294652957891235,1.21550364298241,89,"3627;3659;10628;135112;3566;64135;3600;2634;3665;5610;10379;6373;64761;129607;6890;11054;567;8767;5359;51056;4061;7706;4599;9636"
"HALLMARK_E2F_TARGETS",0.111273539539379,0.232057521850076,0.287805130535564,0.25965112090636,1.20934867021897,193,"10797;4609;1163;7398;8493;3148;84316;10528;23594;983;1164;23165;5885;4176;2146;1026;7037;6117;79677;54556;1633;9738;29028;1965;580;6434;64785;5902;5111;197335;1111;27338;10274;57122;4673;1062;7083;79733;675;54962;4175;5558;6241;5511;5411;10635;55646;29127;1786;1033;29893;84844;29089;3184;5983;11340;7374;9972;7913;3070;7514;11168;2547;993;3364;23047;5395;10527;7465"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.0807202346027768,0.192191034768516,0.287805130535564,0.255152549680597,1.18819118812407,190,"8900;9547;2353;799;374;27295;8140;6446;1960;29887;8204;9314;6509;7494;11057;10950;4277;1844;2296;23650;8645;7022;2444;6478;1154;7980;57834;9022;64215;5777;2261"
