"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_IL2_STAT5_SIGNALING",0.0000844805570944055,0.000384002532247298,0.538434096309916,0.398098525265003,1.73861830337192,185,"22822;2012;3604;4860;8553;9308;3559;1028;23764;4953;942;7850;84230;10397;7185;6095;650;1154;9173;196;4643;6004;8784;10124;5269;10538;1437;81848;4609;388;8202;123;4582;55509;6515;960;462;5583;962;23710;84525;3682;1316;22807;3976;79026;4907;3480;4616;4839;64332;5621;51651;5292;822;5033;200734;7371;4641;8651;6335;6696;28996;760;4783;5732;80324;898"
"HALLMARK_MYOGENESIS",0.000308338529609577,0.00128474387337324,0.49849310876659,0.381624195806539,1.66710028117664,187,"3486;10580;26353;1026;5837;8553;5507;23175;1158;6535;688;7125;1306;23604;4208;58;4046;7139;6588;1293;9659;165;3908;10468;25937;29970;1152;1281;6261;4151;70;22933;2281;1266;5740;2878;10014;6525;4616;7140;8877;2049;6319;3316;5621;2702;573;3475;1760;7040;7170;5091;4641;5816;487;2934;25803;3693;1191;4625;89797"
"HALLMARK_APOPTOSIS",0.00058078561497974,0.00223379082684515,0.477270815362862,0.381292377113415,1.63071392442453,153,"1026;2012;1960;6303;5327;8915;301;467;2069;2643;4739;356;7078;330;3725;3162;650;4170;6648;27250;8900;1647;3301;3958;388;10682;2107;552;2147;960;3669;5663;7417;2878;5366;355;4060;595;4616;7049;638;1387;3606;51330;2876;1611;952;4255"
"HALLMARK_MTORC1_SIGNALING",0.000678742598197287,0.00242408070784745,0.477270815362862,0.372800714700345,1.62855548240673,187,"1026;6781;4860;2717;3638;8553;5606;3422;3949;3157;134429;3156;23645;26136;6713;1595;79602;6533;5719;5641;10682;2181;3939;2107;6515;928;4793;993;1718;5718;79071;5478;56902;6241;81873;10797;5701;6652;441024;6319;10652;51109;2023;1719;7323;7037;4802;10963;5033;2932;2597;6184;4074;3475;47;23760;3251;5706;1717;23478;4783;8503;9415;5230;26747;10061;2632"
"HALLMARK_INFLAMMATORY_RESPONSE",0.00145063552753624,0.00453323602355076,0.45505986738723,0.355073084934287,1.55618124281176,188,"728;166929;1236;1026;4693;3604;5099;2069;2643;3949;5329;23533;1880;8744;366;5791;5054;3696;3269;8807;5142;60675;196;6004;3037;4609;10006;23308;10663;962;3460;23095;2357;5663;6364;8671;3759;1316;27032;3976;5996;10242;8877;133;1317;9034;3091;3554;3606;1604"
"HALLMARK_COMPLEMENT",0.00202659590887103,0.00596057620256185,0.431707695803346,0.346201995858006,1.51370623301595,192,"3303;7128;8942;5327;23764;255738;5329;23533;1847;1520;8445;5055;5054;1803;10938;4322;27445;801;843;3958;5641;5646;716;7980;2147;1378;462;5516;5580;5663;978;151;341;30819;6284;2919;2155;2153;54331;629;959;5292;1465;1604;5321"
"HALLMARK_MYC_TARGETS_V1",0.00443475739524706,0.0116704141980186,0.407017918923954,0.333430387815081,1.45721259586385,186,"4953;5688;2739;6188;9221;1665;22948;6634;4609;7555;3939;2107;6950;8669;5902;5478;3326;10921;1977;10935;5111;10971;2935;6627;10728;7419;1982;9188;7416;7332;26354;26156;22916;3475;5425;4830;3251;23016;5706;5230;7298;6432;4176;5634;7411;51491;6629;5714;6633;4673;6146;6632;51690;6428;1964;10213;6193;7027;55651;54107;10574;6150;6059;10528;10054;9136;3181;1965;6175;3336;6128"
"HALLMARK_ANGIOGENESIS",0.0708955223880597,0.131288004422333,0.231126709673834,0.422772239890527,1.41550379302685,36,"6781;5104;5154;1281;6275;6578;8993;4060;2260;350;10631;6696;7056;3714;7422;4043"
"HALLMARK_COAGULATION",0.0167927521914464,0.0399827433129676,0.352487857583619,0.336662754930061,1.40814405455083,127,"1397;5327;301;11072;23764;7078;5055;5054;4316;1803;8309;2243;5641;716;7980;2147;928;462;726;22933;649;335;341;6284;11098;4314;5654;629;1465;5879;1510;5175;2200;2335;2934;378;4035;7056;1191;3249;5627;10747;7450;2"
"HALLMARK_TGF_BETA_SIGNALING",0.0611854684512428,0.117664362406236,0.252961123069611,0.376496853569217,1.3732500849567,54,"3398;1028;7071;23645;5054;650;25937;3726;3460;7046;8412;57154;11031;56937;5499;7323;7040;90;2280;28996"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0491493383742911,0.101539646268878,0.282013350011725,0.338113220952647,1.33299754913283,82,"3559;23533;7850;1271;3725;3162;9021;578;1437;928;960;3460;2919;355;1230;5292;3554;4615;51330;6774;7040;952;8651;7132;56034;5781;6373;91;2;2921"
"HALLMARK_ALLOGRAFT_REJECTION",0.0507698231344388,0.101539646268878,0.321775918075361,0.305025139383647,1.3255263830145,176,"3702;8915;3559;2069;3122;5582;942;9734;356;2113;1520;8444;8807;3109;7321;10006;2147;23308;567;2000;5788;8669;3460;3117;3108;5552;961;2634;355;3976;959;1230;3824;11184;3091;3606;822;7040;9655;4830;8651;3551;7334;3111;3059;9466;3624;896;2589;4843;6772;6775;6357;7070;3112;958;3848;3455;3665;602;6059;3133;972"
"HALLMARK_MYC_TARGETS_V2",0.119092627599244,0.198487712665406,0.176694268938498,0.343505385783457,1.26778565193756,57,"64216;9221;4609;1844;56342;23223;6652;4839;705;26354;56915;51154;80324;79077;54663;9238;92856;51491;3099;6832;9064;27346;10528;23082;9136;3336"
"HALLMARK_UV_RESPONSE_DN",0.0954128440366973,0.170380078636959,0.195789002148949,0.291339826990711,1.23200606612526,134,"5376;2697;3638;1843;8553;6591;3949;390;5922;5054;22884;57178;2274;4052;3037;10370;29970;6334;1281;4609;91746;5293;7035;493"
