"gene","GSM1932083","GSM1932084","GSM1932085","GSM1932086","GSM1932087","GSM1932088","GSM1932089","GSM1932090"
"AATK",5.23963094835458,5.21525997572739,4.90503019550288,4.71407177924238,5.02622414977298,5.66308466602609,5.96214847832834,5.2178622999831
"AATK-AS1",5.34634951808775,5.52117008733122,5.73700794566086,5.19637290974507,5.25903172898616,5.18230928900123,4.76991235285542,4.74898652953854
"ABAT",7.67008811548165,7.85086366077181,8.13062399172447,7.95179338076033,8.1532463810445,7.97334596306253,7.72369970469421,7.21429268572217
"ABCA1",10.032501308241,10.7133166374834,10.7619847063182,10.9662405939195,9.2106415862195,8.99315261214247,9.65786983604226,11.105939717969
"ABCA10",7.58206427542773,7.46830292048513,7.60188054788751,7.20870530005543,6.66352507306045,6.69966515756239,6.64691792979448,7.20909341705657
"ABCA11P",8.87767732439908,8.69270155174681,9.10856909338583,8.45901341828387,8.07721724621153,8.08473228695498,8.39193599850431,8.19209836553409
"ABCA12",5.38043540155628,6.25890986546067,4.38071345078839,6.2492905768146,2.66666684664606,1.72388223054414,2.65593405611041,3.53846230219729
"ABCA13",4.41020465818226,4.11480418193867,4.39679854309049,4.6736666005289,5.04413742796073,4.81768408475406,4.65719175127414,4.52941362434263
"ABCA17P",4.10204993829571,3.16928189703668,2.16375150380011,2.94275545047745,2.99504612624758,2.28600166357146,2.74986696090565,2.96161277194315
"ABCA2",7.90239971094541,7.5303234524246,8.19203226241514,7.54027901661448,7.9776988110168,7.82089871958618,8.15542532548809,7.78770526225045
"ABCA3",6.37358329555685,6.5713195652504,6.90657892779459,6.47465050083575,8.19775375249178,8.22482497685138,9.43500486155848,8.3890207032352
"ABCA4",4.86452338628309,4.26649190104089,5.31596572009198,4.90887769308951,4.81648394839603,4.88211717677254,4.15028662720002,4.25036884055234
"ABCA5",7.73370872684946,8.02679496454127,7.71362763022192,7.67863590411368,8.32368206226444,8.00979995348955,8.84443172517597,8.7410768633017
"ABCA6",5.68403095797956,7.38459536951679,6.49666173540736,7.58952365944257,4.02360835238042,4.83754765717857,3.57048709717996,3.66194440064599
"ABCA7",5.74835063824684,6.31726171534896,6.33783075879017,6.22077471083865,9.20900337687559,9.0381255055299,9.16851362354776,9.30121901315019
"ABCA8",5.2634828865376,5.06524998696089,4.975582453304,5.40259800233003,4.45868771758674,4.71651790912502,4.96870637029834,4.42341809421259
"ABCA9",14.8594692540342,14.6944732285062,14.6519654046518,14.8491274668188,14.3880132263465,14.2120752853097,14.3514175389444,14.3062909867133
"ABCB1",6.0820585160545,5.91434133336219,6.00034483052741,5.60453689141494,5.48657244526861,5.61386927359095,5.25746172941719,5.51446218473621
"ABCB10",11.2157366365207,11.4178407449563,11.7216835323507,11.1101019853378,10.4309309442413,10.236763671058,10.4480178631576,10.875325985383
"ABCB11",4.90661737138701,5.09285940482072,5.64641035423684,5.27029603672173,5.38682504923005,4.57516218334442,5.15200729077983,5.53413037912567
"ABCB5",3.70250118755268,3.37840868883936,4.39342986125161,5.82799449950943,4.0208843151854,3.58836073093617,6.63126203576195,2.77422157043658
"ABCB6",10.9374361166408,11.1532509716545,11.3195223568003,11.0782920534768,10.8413321447713,10.7315385407427,10.4643105698323,11.1520881247797
"ABCB7",10.5656111494197,10.5915585107328,10.9836746161721,10.4930134770818,10.765885829326,10.6948329136477,11.0307041541406,10.8032978251589
"ABCB8",9.90888671400263,9.4136101152266,9.8565012860236,9.27622720294116,10.3538951992724,10.1763859577387,10.0238134998119,10.7019281849926
"ABCB9",7.50679533884982,7.56437038646653,8.05055436639064,7.47402938833999,8.6986104944256,8.55548480550154,7.97753053564507,8.14689436349667
"ABCC1",11.4050423430711,11.0565650224488,11.7083341226419,10.9122746224383,10.3685093850902,10.2108888626672,9.87766907542075,10.0607616876346
"ABCC10",9.46583181791607,9.27363752105437,9.75983989123391,9.12112209374579,9.26036769781375,9.36570167603915,9.79509218068331,9.65221592658302
"ABCC11",4.39039041331663,4.83422775916821,4.71933673922445,4.4658248995417,4.50387400189525,4.56226495756764,4.72279928132059,4.48292177089497
"ABCC12",1.65256863728338,2.55217341684859,3.58563427950811,3.21207964209404,2.87600627721143,2.11212961336297,2.07761798253205,2.29483597926056
"ABCC13",4.78093046101288,4.93363160060672,5.55390629548603,7.44157459961587,5.06349427057844,5.34545205093343,5.44195014861124,7.61322280032017
"ABCC2",7.4653531803565,6.6977123764044,7.50028404115296,6.92938836667152,7.79164074854567,7.52152725495335,7.35800039316614,7.0264955455352
"ABCC3",9.00766219058104,8.1988436809788,9.06778034825959,8.21465220888906,11.8639483895869,11.6536340632375,12.2760928980412,11.8706477895008
"ABCC4",8.63596575658689,8.42463148400992,8.91464607639035,8.21400275701256,7.72410847048775,7.52146915046419,7.30723158934312,7.4674105611548
"ABCC5",10.3996428828594,10.2164496255195,10.6162535471819,10.2314824252877,9.81818506855342,9.61198340789613,10.3096601510308,10.4573107732669
"ABCC6",8.75298763502676,8.66296339562174,9.0137167719745,8.6173972261003,9.65768497976734,9.43365570484259,9.52106660072549,9.39552188053523
"ABCC6P1",5.78075913886038,5.83316964210776,5.45675979960838,5.67341873388643,5.33978050249393,5.60929870035885,5.16426290865842,5.39117549003613
"ABCC8",6.42916197941302,6.62920300131104,7.15000189523894,7.24298331610575,6.39459489343965,6.67664934631335,7.18785758613497,6.93382611441168
"ABCC9",4.92894344946891,4.7593427647063,4.92652177890314,3.85432974304569,3.49972970161532,2.8569245556536,3.82951766122867,3.04213562769514
"ABCD1",8.8211045405208,9.18200390133561,9.25522070936348,9.12859494240034,9.25678725246342,9.06316066879578,9.01188548583354,9.25535196879647
"ABCD2",3.01278818957874,2.65149605894018,2.37196359679092,1.89641833934847,2.42965880926511,3.09679618556064,3.19692708295233,1.8979517215529
"ABCD3",10.4098424279701,10.2118015343884,10.3858555850235,10.1601596943743,8.79860813865624,8.65736268202249,7.80614602335449,8.31334326942016
"ABCD4",10.9629044468133,10.6380961790452,10.9930258855603,10.4590387986108,11.819551109443,11.568815771433,11.7748404510933,11.7298364005715
"ABCE1",13.5979512379151,13.4473092340446,13.9092864918665,13.0041243558515,12.7332318112039,12.5636273664645,12.3513709530586,12.5563503001022
"ABCF1",13.7258923322575,13.3779099701451,14.0923780599084,13.231189025627,13.4772725244368,13.3095473611968,13.2204175808919,13.4957076125647
"ABCF2",13.0269901471654,12.7026405932088,13.3513629909093,12.0631097766522,12.7144373659605,12.6121035738158,12.4204517895579,12.2507634518994
"ABCF3",13.296118903186,12.9634482362607,13.5000338933414,12.7004350967844,12.9075422308025,12.7392795192781,13.1623141687883,13.0743469918386
"ABCG1",6.70491454490573,6.51498886383405,6.62113609861869,6.69398281089431,7.09766534960797,7.06272485715585,7.16800994590215,7.50786502138998
"ABCG2",6.96921357753277,7.08398854470453,7.51124567676132,7.73067037852958,7.9063108704033,7.76348314306412,7.94182043141653,7.8164370166017
"ABCG4",6.64786216626688,6.61106492654787,6.68622707554242,6.34338435166171,6.7732813785471,6.46398839687782,8.02111755905975,7.03628439628704
"ABCG5",6.83991020808953,6.69266262954397,6.84547096960813,6.49745667196584,6.71830653413909,6.77658803898514,6.86651089807972,6.48687087636206
"ABCG8",5.71322535028309,5.2395507584269,5.73232643395382,5.50749874639724,5.29391076826195,5.38030032280674,4.83947083206238,4.94502748416399
"ABHD1",6.49452152042379,6.46142458699678,6.67556726215548,6.51516348175277,6.93272120407249,6.85701280851019,6.84388939014338,6.75210601825982
"ABHD11",12.6009182136147,12.5016930770959,12.7987590719315,12.5784233308136,12.4468870329558,12.3461016638328,12.3945574632174,13.0420210938503
"ABHD11-AS1",5.41380388478089,5.49083544513444,5.88494949233161,5.82671216987069,6.23929757721241,6.22410934637584,6.49429173748525,5.77913412268053
"ABHD12",11.4489833549635,11.4653846173526,11.8146728534063,11.0827542600457,11.5144338102816,11.3577425987634,10.5454854847471,11.0527152192481
"ABHD13",5.97492914148704,6.50212066552919,5.30229963695438,5.33601121419966,4.8425780889519,5.08195946622367,4.6676803592878,5.42573183210031
"ABHD14A",12.4467203569859,12.430271596826,12.7467201883951,12.407131158301,13.6592756668655,13.6217988769837,13.6281766250413,13.7402845874659
"ABHD14B",10.6412440623611,10.4456467186398,11.0030559220487,10.2933862100229,10.8535713059431,10.714377483018,11.2031183520709,10.9009555996572
"ABHD15",8.56977579851173,9.10652231933836,8.89315612839363,8.62412568159503,8.85323587157706,8.57873375963082,8.51694994361856,8.92614616912665
"ABHD16A",8.62684348365684,8.25540810216618,8.90924651254769,8.01150502576233,9.32074996681351,9.31065317428325,9.3226372734188,9.14555844577621
"ABHD2",10.1800740937988,9.95703190659088,9.92438212296767,9.44831390908272,10.9492953970128,10.6897968175877,9.41541428159529,10.1774627421967
"ABHD3",9.13425708627442,9.46934811852984,9.19208879803504,8.86660629021771,10.2292390293883,10.1516910079952,9.23363879833353,9.52511021682421
"ABHD4",10.8206071423045,11.0738541524771,10.7647834335717,10.9455752817093,11.5537553581658,11.3883836612895,11.8232632058012,11.8917721916049
"ABHD5",12.6944794879238,12.3989319457476,12.9899547710852,11.924656158273,14.1151769598704,14.058127026508,12.7754760616994,13.464695025174
"ABHD6",10.8919322772113,10.622712304484,10.7689680635733,10.3765646214183,11.9801958841422,11.8442054331607,11.5362694043615,11.9125936129287
"ABHD8",11.3788890886451,11.46680587524,11.7118655472573,11.4203938052321,12.630096603642,12.6211413067384,13.0990511658511,12.7515063340871
"ABI1",9.32950435966215,9.5269347773045,9.45142168665902,9.24270438600032,9.87900709647018,9.88378541164371,9.37729335606206,9.57012092402556
"ABI2",10.9264217832601,10.8631088906826,11.0387555653385,10.6522020499848,10.2034454996837,10.1007735969859,10.2131755370892,10.4747652431954
"ABI3",9.09476119750791,9.66087582671813,9.50083307600381,9.58660634702223,8.60299045107001,8.91195870436105,8.82171939445876,8.70303104654138
"ABI3BP",10.2808852058684,9.64865755768166,10.7145431965211,9.32059406515707,7.57247497796883,7.50668666103554,7.6883096175444,7.31255426465509
"ABL1",12.8648830748877,12.3526483806405,12.8533650550093,11.9569190366445,11.347118429723,11.1360809271297,11.4899014730992,11.6614243621352
"ABL2",14.1966643386393,13.0728476898909,13.4788100182889,12.8679101047997,14.0361014484309,13.9431154736713,12.6952680301052,13.0531201086746
"ABLIM1",7.91623346175469,8.51306739318492,7.87802257368811,8.33839312069143,14.1631425115705,14.0411756924335,13.9654947859812,13.9382967907706
"ABLIM2",6.84309417994509,7.19399817159249,7.03215572582273,7.16228033012716,7.34547869033487,7.10584440016789,7.42971202072763,6.87207864626363
"ABLIM3",13.5815571715721,13.8312943449065,14.1197038710993,13.6667410252092,11.9511862290888,11.7261903437504,11.8579116877456,11.4698624162202
"ABO",10.9629846741479,10.8334029964048,11.0078413950276,10.6483060566519,10.396828102293,10.3250520661286,10.5109161214856,10.2677133138711
"ABP1",6.84016080271724,6.88505057246203,7.19528340602103,6.78016281640694,6.6780208885979,6.53961526655103,7.23107982327907,6.61470541297363
"ABR",13.3568631621011,13.4156110219562,13.9162312055755,13.3766015518933,13.4376753171114,13.2692100758236,14.286495651542,13.9479601091797
"ABRA",3.42011787580491,1.92179581719702,4.51343446422407,3.52451118795182,3.16080936868646,3.03022959401171,3.47819901225555,3.53782644892537
"ABT1",9.11593001474527,9.40187143671734,9.38295959839609,9.29816564740458,9.29556113234692,9.17090544786947,8.83864827191783,8.84282481147303
